Company Name,Category,Location,Company Website,Company Email,HR Email,Careers Page
Oracle OPERA Cloud,PMS,"Austin, United States",https://www.oracle.com/hospitality/,,Not publicly listed - apply via company website,https://careers.oracle.com
Cloudbeds,PMS,"San Diego, United States",https://www.cloudbeds.com,,Not publicly listed - apply via company website,https://www.cloudbeds.com/careers/
Mews,PMS,"Prague, Czech Republic",https://www.mews.com,,Not publicly listed - apply via company website,https://www.mews.com/en/careers
eZee Absolute,PMS,"Ahmedabad, India",https://www.ezeeabsolute.com,,careers@yanoljacloudsolution.com,
Hotelogix,PMS,"Gurugram, India",https://www.hotelogix.com,sales@hotelogix.com,Not publicly listed - apply via company website,https://www.hotelogix.com/careers
protel (Planet),PMS,"Dortmund, Germany",https://www.protel.net,,Not publicly listed - apply via company website,https://careers.protel.net/en/
RMS Cloud,PMS,"Southport, Australia",https://www.rmscloud.com,,Not publicly listed - apply via company website,https://www.rmscloud.com/careers
Little Hotelier,PMS,"Sydney, Australia",https://www.littlehotelier.com,,Not publicly listed - apply via company website,https://www.siteminder.com/jobs/
StayFlexi,PMS,"San Jose, United States",https://www.stayflexi.com,,Not publicly listed - apply via company website,https://www.ycombinator.com/companies/stayflexi/jobs
innRoad,PMS,"New York, United States",https://www.innroad.com,info@innroad.com,careers@innroad.com,
Clock PMS (Clock Software),PMS,"Sofia, Bulgaria",https://www.clock-software.com,,Not publicly listed - apply via company website,https://www.clock-software.com/careers
Frontdesk Anywhere,PMS,"Santa Monica, United States",https://www.frontdeskanywhere.com,,Not publicly listed - apply via company website,https://www.frontdeskanywhere.com/company/careers
Agilysys,PMS,"Alpharetta, United States",https://www.agilysys.com,,Not publicly listed - apply via company website,https://www.agilysys.com/en/careers/
Guestline,PMS,"Shrewsbury, United Kingdom",https://www.guestline.com,sales@guestline.com,Not publicly listed - apply via company website,https://www.guestline.com/about-us/careers/
Maestro PMS,PMS,"Markham, Canada",https://www.maestropms.com,,careers@maestropms.com,https://www.maestropms.com/careers-hospitality-technology-pms.html
WebRezPro,PMS,"Victoria, Canada",https://www.webrezpro.com,,Not publicly listed - apply via company website,https://webrezpro.com/careers-webrezpro/
Hostaway,PMS,"Boston, United States",https://www.hostaway.com,sales@hostaway.com,Not publicly listed - apply via company website,https://careers.hostaway.com/
Skyware Hotel Systems,PMS,"Limassol, Cyprus",https://www.skyware-systems.com,,Not publicly listed - apply via company website,
Sabre SynXis,CRS,"Southlake, United States",https://www.sabrehospitality.com,,recruiting@careers.sabre.com,https://www.sabre.com/careers/
Amadeus Central Reservation System,CRS,"Madrid, Spain",https://amadeus-hospitality.com,amadeus@es.amadeus.com,Not publicly listed - apply via company website,https://amadeus.com/en/careers/locations/madrid
iHotelier (Amadeus TravelClick),CRS,"New York, United States",https://amadeus-hospitality.com/solutions/central-reservations/ihotelier-crs/,,Not publicly listed - apply via company website,https://amadeus.com/en/careers/overview
Pegasus (Amadeus),CRS,"Austin, United States",https://amadeus-hospitality.com,,Not publicly listed - apply via company website,https://amadeus.com/en/careers/locations/madrid
Oracle Hospitality OPERA CRS,CRS,"Austin, United States",https://www.oracle.com/hospitality/,,Not publicly listed - apply via company website,https://careers.oracle.com
SHR Windsurfer CRS,CRS,"Houston, United States",https://shr.global,,Not publicly listed - apply via company website,https://shr.global/careers/
RezGain,CRS,"Las Vegas, United States",https://www.rezgain.com,marketing@rategain.com,Not publicly listed - apply via company website,https://rategain-talent.freshteam.com/jobs
Infor Hospitality CRS,CRS,"New York, United States",https://www.infor.com/industries/hospitality,,Not publicly listed - apply via company website,https://careers.infor.com/
IDS Next,CRS,"Bengaluru, India",https://www.idsnext.com,,Not publicly listed - apply via company website,https://idsnext.com/careers/
Nor1,CRS,"San Mateo, United States",https://www.nor1.com,sales@nor1.com,Not publicly listed - apply via company website,https://careers.oracle.com
Newmarket / Delphi (Oracle Hospitality),CRS,"Portsmouth, United States",https://www.oracle.com/hospitality/sales-event-management/,,Not publicly listed - apply via company website,https://careers.oracle.com
